Component,Type
BQ1,РК169МВ-6ВТ-16000кГц
C1,"К50-35-16В-47,0мкФ"
C2,"К10-17-3г-Н90-0,15мкФ"
C3,КД-2-П33-15пФ+-5%-3-В
C4,К10-17-3г-М47-47пФ+-10%
C5,К10-17-3г-М47-220пФ+-10%
C6,К10-17-3г-М47-100пФ+-10%
C7,"К50-35-16В-47,0мкФ"
C8..C9,К10-17-3г-М1500-4700пФ+-10%
C10..C11,"К10-17-3г-Н90-0,15мкФ"
C12,К10-17-3г-М47-220пФ+-10%
C13,К10-17-3г-М47-560пФ+-10%
C14..C17,"К50-35-16В-47,0мкФ"
C18..C53,"К10-17-3г-Н90-0,15мкФ"
C54,К10-17-3г-М47-220пФ+-10%
D1,К155ЛА18
D2,К555ТЛ2
D3,КР1810ГФ84
D4,К555ТМ2
D5,КР580ВИ53
D6,КР1810ВН59А
D7..D8,КР580ВВ55А
D9,КР580ВВ51А
D10,К293ЛП1Б
D11,КР1810ВМ88
D12,К555КП11
D13,КР1545ХМ1-0042
D14,К555ЛИ1
D15,К555ЛР11
D16,К561ТВ1
D17..D18,К555ИР22
D19..D20,К555АП6
D21,К555ТМ2
D22..D23,К555АП6
D24,К555ИД7
D25..D26,К573РФ6А
D27,КР1545ХМ1-0015
D28,КР1545ХМ1-0031
D29,К555ЛИ1
D30,К155ЛН6
D31,К555КП11
D32..D39,К565РУ5Г
D40,КР1545ХМ1-0012
D41,КР1545ХМ1-0009
D42,К555КП11
D43..D50,К565РУ5Г
D51,К555ТМ8
D52,К561ЛН1
D53,К555АП6
D54,К555ИР22
D55,К155ЛН3
D56,К555ИР23
D57..D58,К555ИР22
D59,К555АП6
D60,К573РФ6А
D61..D62,К555ИР16
D63,К155ЛН3
D64,К555ЛН1
DR1..DR4,"НР-1-4-9-3,3кОм"
R1..R6,4.7 кОм ±10%
R7,160 Ом ±5%
R8,1 кОм ±10%
R9,4.7 кОм ±10%
R10..R17,15 кОм ±10%
R18..R19,1 кОм ±10%
R20..R22,4.7 кОм ±10%
R23,510 Ом ±5%
R24,1 кОм ±10%
R25,4.7 кОм ±10%
R26,1 кОм ±10%
R27,160 Ом ±5%
R28,1 кОм ±10%
R29,200 Ом ±5%
R30,130 Ом ±5%
R31,300 Ом ±5%
R32..R34,180 Ом ±5%
R35..R37,360 Ом ±5%
R38,470 Ом ±5%
R39,270 Ом ±5%
R40,120 Ом ±5%
R41..R43,470 Ом ±5%
R44..R46,270 Ом ±5%
R47..R49,120 Ом ±5%
R50..R51,4.7 кОм ±10%
R52,470 Ом ±5%
R53,15 кОм ±10%
R54..R57,4.7 кОм ±10%
R58..R59,15 кОм ±10%
R60,150 кОм ±10%
R61,1 кОм ±10%
R62,82 кОм ±10%
R63..R65,1 кОм ±10%
R66..R69,4.7 кОм ±10%
R70,160 Ом ±5%
R71,130 Ом ±5%
R72,1 кОм ±10%
R73..R74,4.7 кОм ±10%
R75..R77,510 Ом ±5%
R78..R79,4.7 кОм ±10%
S1,ПД19-2
VD1..VD27,КД522Б
VD28,КС156А
VT1,КТ361Г
VT2..VT8,КТ315Г
X1..X2,СНП15-64
X3,ОЮ4.130.041-08
X4,ОЮ4.138.041-03
X5,ОНП-КГ-56-10-В53
X6,ОНЦ-КГ-4-5/16-Р
X7,ОНП-КГ-56-24-В53
X8,ОНП-КГ-56-10-В53
X9,СНП40-3В
X10,ОНП-КГ-22-4
